SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2017,PALO ALTO,CA,94301,7200000,5,4,PALO ALTO,4358,14709,1931,,1652,,Sold,,,https://www.redfin.com/CA/Palo-Alto/525-Center-Dr-94301/home/1406637,MLSListings,ML81652346,N,Y,37.456094,-122.1435134
PAST SALE,2017,PALO ALTO,CA,94306,4490000,5,4.5,PALO ALTO,3486,7500,1940,,1288,,Sold,,,https://www.redfin.com/CA/Palo-Alto/138-Park-Ave-94306/home/594305,MLSListings,ML81670538,N,Y,37.429859,-122.1501079
PAST SALE,2017,PALO ALTO,CA,94306,5000000,6,5.5,PALO ALTO,3408,9198,2017,,1467,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3452-Cowper-Ct-94306/home/599857,MLSListings,ML81673433,N,Y,37.4234024,-122.1206436
PAST SALE,2017,PALO ALTO,CA,94303,3800000,6,4,PALO ALTO,3645,10080,1956,,1043,,Sold,,,https://www.redfin.com/CA/Palo-Alto/653-Wildwood-Ln-94303/home/1770289,MLSListings,ML81653995,N,Y,37.4500877,-122.1274319
PAST SALE,2017,PALO ALTO,CA,94306,2400000,5,5.5,PALO ALTO,3600,9600,2020,,667,,Sold,,,https://www.redfin.com/CA/Palo-Alto/4388-Silva-Ct-94306/home/2120564,MLSListings,ML81671064,N,Y,37.4077037,-122.1138106
PAST SALE,2017,PALO ALTO,CA,94306,5000000,7,7,PALO ALTO,5539,7182,2017,,903,,Sold,,,https://www.redfin.com/CA/Palo-Alto/891-San-Jude-St-94306/home/940328,MLSListings,ML81669565,N,Y,37.4098061,-122.1353287
PAST SALE,2017,LOS ALTOS HILLS,CA,94022,4850000,4,4,LOS ALTOS HILLS,4329,43560,1962,,1120,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/26463-Aric-Ln-94022/home/639178,MLSListings,ML81671433,N,Y,37.3901114,-122.1411845
PAST SALE,2017,PALO ALTO,CA,94301,3498000,7,5,PALO ALTO,3248,7593,1942,,1077,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1655-Middlefield-Rd-94301/home/546882,MLSListings,ML81648763,N,Y,37.4419202,-122.1423822
PAST SALE,2017,LOS ALTOS HILLS,CA,94022,3610000,5,4,LOS ALTOS HILLS,3554,48719,1977,,1016,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/13551-Paseo-Del-Roble-Dr-94022/home/1259301,MLSListings,ML81682827,N,Y,37.3782326,-122.1681837
PAST SALE,2017,PALO ALTO,CA,94301,23495000,6,4.5,PALO ALTO,4586,32500,1922,,5123,,Sold,,,https://www.redfin.com/CA/Palo-Alto/215-Coleridge-Ave-94301/home/1512078,MLSListings,ML81685906,N,Y,37.4365659,-122.1491026
PAST SALE,2017,PALO ALTO,CA,94303,4800000,4,4,PALO ALTO,3779,6689,2017,,1270,,Sold,,,https://www.redfin.com/CA/Palo-Alto/757-Moreno-Ave-94303/home/1784495,MLSListings,ML81684314,N,Y,37.4355697,-122.1299607
PAST SALE,2017,PALO ALTO,CA,94303,7100000,5,5.5,PALO ALTO,3837,9895,2017,,1850,,Sold,,,https://www.redfin.com/CA/Palo-Alto/90-Jordan-Pl-94303/home/1307462,MLSListings,ML81684305,N,Y,37.446606,-122.1359498
PAST SALE,2017,PALO ALTO,CA,94306,5700000,7,6,PALO ALTO,5034,8019,2017,,1132,,Sold,,,https://www.redfin.com/CA/Palo-Alto/684-Wellsbury-Way-94306/home/1377659,MLSListings,ML81682114,N,Y,37.4298729,-122.1247698
PAST SALE,2017,PALO ALTO,CA,94303,5250000,4,3.5,PALO ALTO,3324,12500,1936,,1579,,Sold,,,https://www.redfin.com/CA/Palo-Alto/701-Tennyson-Ave-94303/home/1055247,MLSListings,ML81677745,N,Y,37.4408848,-122.1406078
PAST SALE,2017,PALO ALTO,CA,94301,4855000,5,5.5,PALO ALTO,3865,6500,2017,,1256,,Sold,,,https://www.redfin.com/CA/Palo-Alto/410-Marion-Ave-94301/home/1621554,MLSListings,ML81676817,N,Y,37.4315556,-122.1347964
